# Single SKU Max Power Table                                                   
# 2.4G Channel                                                   
Band: 2.4G MaxPower_4T MaxPower_3T MaxPower_2T                                                
Ch1 17 30 30                                                
Ch2 17 30 30                                                
Ch3 17 30 30                                                
Ch4 17 30 30                                                
Ch5 17 30 30                                                
Ch6 17 30 30                                                
Ch7 17 30 30                                                
Ch8 17 30 30                                                
Ch9 17 30 30                                                
Ch10 17 30 30                                                
Ch11 17 30 30                                                
Ch12 17 30 30                                                
Ch13 17 30 30                                                
Ch14 17 30 30                                                
                                                   
# 5G Channel                                                   
Band: 5G MaxPower_4T MaxPower_3T MaxPower_2T                                                
Ch184 30 30 30                                                
Ch188 30 30 30                                                
Ch192 30 30 30                                                
Ch196 30 30 30                                                
Ch8 30 30 30                                                
Ch12 30 30 30                                                
Ch16 30 30 30                                                
Ch36 10 30 30                                                
Ch40 10 30 30                                                
Ch44 10 30 30                                                
Ch48 10 30 30                                                
Ch52 10 30 30                                                
Ch56 10 30 30                                                
Ch60 10 30 30                                                
Ch64 10 30 30                                                
Ch68 30 30 30                                                
Ch72 30 30 30                                                
Ch76 30 30 30                                                
Ch80 30 30 30                                                
Ch84 30 30 30                                                
Ch88 30 30 30                                                
Ch92 30 30 30                                                
Ch96 30 30 30                                                
Ch100 17 30 30                                                
Ch104 17 30 30                                                
Ch108 17 30 30                                                
Ch112 17 30 30                                                
Ch116 17 30 30                                                
Ch120 17 30 30                                                
Ch124 17 30 30                                                
Ch128 17 30 30                                                
Ch132 17 30 30                                                
Ch136 17 30 30                                                
Ch140 17 30 30                                                
Ch144 30 30 30                                                
Ch149 30 30 30                                                
Ch153 30 30 30                                                
Ch157 30 30 30                                                
Ch161 30 30 30                                                
Ch165 30 30 30                                                
Ch169 30 30 30                                                
Ch173 30 30 30                                                
Ch177 30 30 30                                                
Ch181 30 30 30                                                
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
